country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
Hungary,Nagykanizsa,65.0,Moderate,1.0,Good,33.0,Good,2.0,Good,65.0,Moderate,Nagykanizsa,Hungary,46.455,16.9925
Hungary,Nagykata,59.0,Moderate,1.0,Good,42.0,Good,1.0,Good,59.0,Moderate,Nagykata,Hungary,47.412,19.7396
Hungary,Nagykoros,87.0,Moderate,1.0,Good,35.0,Good,3.0,Good,87.0,Moderate,Nagykoros,Hungary,47.0332,19.784
India,Nahan,427.0,Hazardous,1.0,Good,106.0,Unhealthy for Sensitive Groups,1.0,Good,379.0,Hazardous,Nahan,India,30.55,77.3
Israel,Nahariyya,74.0,Moderate,1.0,Good,45.0,Good,7.0,Good,74.0,Moderate,Nahariyya,Israel,33.0058,35.0989
Iran (Islamic Republic of),Nahavand,116.0,Unhealthy for Sensitive Groups,1.0,Good,28.0,Good,1.0,Good,116.0,Unhealthy for Sensitive Groups,Nahavand,Iran,34.1928,48.3731
Israel,Nahef,143.0,Unhealthy for Sensitive Groups,3.0,Good,35.0,Good,16.0,Good,143.0,Unhealthy for Sensitive Groups,,,,
Afghanistan,Nahrin,99.0,Moderate,1.0,Good,49.0,Good,0.0,Good,99.0,Moderate,,,,
Guatemala,Nahuala,89.0,Moderate,3.0,Good,7.0,Good,11.0,Good,89.0,Moderate,Nahuala,Guatemala,14.85,-91.3167
India,Naihati,133.0,Unhealthy for Sensitive Groups,3.0,Good,42.0,Good,3.0,Good,133.0,Unhealthy for Sensitive Groups,Naihati,India,22.89,88.42
United Kingdom of Great Britain and Northern Ireland,Nailsea,62.0,Moderate,0.0,Good,33.0,Good,0.0,Good,62.0,Moderate,Nailsea,United Kingdom,51.43,-2.76
India,Naini Tal,123.0,Unhealthy for Sensitive Groups,2.0,Good,116.0,Unhealthy for Sensitive Groups,0.0,Good,123.0,Unhealthy for Sensitive Groups,Naini Tal,India,29.3919,79.4542
India,Nainpur,153.0,Unhealthy,0.0,Good,38.0,Good,0.0,Good,153.0,Unhealthy,Nainpur,India,22.43,80.12
Kenya,Nairobi,107.0,Unhealthy for Sensitive Groups,2.0,Good,15.0,Good,2.0,Good,107.0,Unhealthy for Sensitive Groups,Nairobi,Kenya,-1.2864,36.8172
Kenya,Naivasha,60.0,Moderate,2.0,Good,23.0,Good,0.0,Good,60.0,Moderate,Naivasha,Kenya,-0.7202,36.4285
India,Najibabad,157.0,Unhealthy,4.0,Good,33.0,Good,10.0,Good,157.0,Unhealthy,Najibabad,India,29.6128,78.3425
Saudi Arabia,Najran,98.0,Moderate,0.0,Good,34.0,Good,0.0,Good,98.0,Moderate,Najran,Saudi Arabia,17.4917,44.1322
Japan,Naka,74.0,Moderate,1.0,Good,74.0,Moderate,1.0,Good,27.0,Good,Naka,Japan,36.4574,140.4868
Japan,Nakajo,42.0,Good,1.0,Good,42.0,Good,0.0,Good,28.0,Good,,,,
Japan,Nakama,55.0,Moderate,1.0,Good,55.0,Moderate,2.0,Good,50.0,Good,Nakama,Japan,33.8208,130.7083
Zambia,Nakambala,36.0,Good,1.0,Good,20.0,Good,0.0,Good,36.0,Good,,,,
Japan,Nakamura,48.0,Good,1.0,Good,48.0,Good,0.0,Good,28.0,Good,,,,
Japan,Nakano,38.0,Good,1.0,Good,38.0,Good,1.0,Good,24.0,Good,Nakano,Japan,36.742,138.3694
Japan,Nakano,38.0,Good,1.0,Good,38.0,Good,1.0,Good,24.0,Good,Nakano,Japan,35.7074,139.6638
Japan,Nakanojo,37.0,Good,1.0,Good,37.0,Good,1.0,Good,29.0,Good,,,,
Japan,Nakatsu,52.0,Moderate,1.0,Good,52.0,Moderate,1.0,Good,34.0,Good,Nakatsu,Japan,33.5983,131.1883
Japan,Nakatsugawa,51.0,Moderate,1.0,Good,51.0,Moderate,1.0,Good,44.0,Good,Nakatsugawa,Japan,35.4876,137.5006
Russian Federation,Nakhabino,36.0,Good,1.0,Good,25.0,Good,7.0,Good,36.0,Good,,,,
Russian Federation,Nakhodka,80.0,Moderate,2.0,Good,44.0,Good,2.0,Good,80.0,Moderate,Nakhodka,Russia,42.8167,132.8667
Russian Federation,Nakhodka,80.0,Moderate,2.0,Good,44.0,Good,2.0,Good,80.0,Moderate,Nakhodka,Russia,67.7206,77.6617
